※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,2025년07월,,,,,,2025년08월,,,,,,2025년09월,,,,,,2025년10월,,,,,,2025년11월,,,,,,2025년12월,,,,,
행정기관코드,행정기관,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1100000000,서울특별시  ,"9,255,040","4,453,939",          2.08,"4,460,817","4,794,223",          0.93,"9,253,789","4,456,100",          2.08,"4,459,865","4,793,924",          0.93,"9,250,685","4,457,372",          2.08,"4,457,593","4,793,092",          0.93,"9,246,276","4,456,282",          2.07,"4,454,997","4,791,279",          0.93,"9,238,391","4,453,415",          2.07,"4,450,146","4,788,245",          0.93,"9,232,888","4,453,779",          2.07,"4,446,962","4,785,926",          0.93
1111000000,서울특별시 종로구 ,"136,179","71,276",          1.91,"65,309","70,870",          0.92,"135,913","71,199",          1.91,"65,183","70,730",          0.92,"135,885","71,201",          1.91,"65,167","70,718",          0.92,"135,791","71,209",          1.91,"65,063","70,728",          0.92,"135,570","71,133",          1.91,"64,930","70,640",          0.92,"135,377","71,112",          1.90,"64,797","70,580",          0.92
1114000000,서울특별시 중구 ,"117,444","63,296",          1.86,"56,343","61,101",          0.92,"117,195","63,209",          1.85,"56,217","60,978",          0.92,"117,041","63,192",          1.85,"56,116","60,925",          0.92,"116,927","63,064",          1.85,"56,082","60,845",          0.92,"116,715","62,903",          1.86,"55,954","60,761",          0.92,"116,432","62,790",          1.85,"55,821","60,611",          0.92
1117000000,서울특별시 용산구 ,"199,888","101,083",          1.98,"95,330","104,558",          0.91,"199,667","101,011",          1.98,"95,186","104,481",          0.91,"199,557","101,015",          1.98,"95,094","104,463",          0.91,"199,437","101,046",          1.97,"94,965","104,472",          0.91,"199,118","100,877",          1.97,"94,721","104,397",          0.91,"198,869","100,826",          1.97,"94,584","104,285",          0.91
1120000000,서울특별시 성동구 ,"270,887","130,711",          2.07,"130,872","140,015",          0.93,"271,455","131,060",          2.07,"131,140","140,315",          0.93,"272,120","131,554",          2.07,"131,453","140,667",          0.93,"272,345","131,667",          2.07,"131,490","140,855",          0.93,"272,459","131,700",          2.07,"131,500","140,959",          0.93,"272,565","131,774",          2.07,"131,491","141,074",          0.93
1121500000,서울특별시 광진구 ,"330,424","169,714",          1.95,"158,083","172,341",          0.92,"330,098","169,658",          1.95,"157,963","172,135",          0.92,"329,689","169,534",          1.94,"157,735","171,954",          0.92,"329,457","169,520",          1.94,"157,621","171,836",          0.92,"329,122","169,395",          1.94,"157,419","171,703",          0.92,"328,817","169,430",          1.94,"157,320","171,497",          0.92
1123000000,서울특별시 동대문구 ,"341,431","173,846",          1.96,"166,531","174,900",          0.95,"342,246","174,290",          1.96,"166,905","175,341",          0.95,"342,366","174,441",          1.96,"166,963","175,403",          0.95,"342,157","174,256",          1.96,"166,780","175,377",          0.95,"341,992","174,129",          1.96,"166,644","175,348",          0.95,"344,015","175,055",          1.97,"167,617","176,398",          0.95
1126000000,서울특별시 중랑구 ,"375,442","187,264",          2.00,"183,340","192,102",          0.95,"375,412","187,325",          2.00,"183,275","192,137",          0.95,"375,241","187,412",          2.00,"183,201","192,040",          0.95,"375,206","187,571",          2.00,"183,154","192,052",          0.95,"375,125","187,718",          2.00,"183,026","192,099",          0.95,"375,082","187,947",          2.00,"182,987","192,095",          0.95
