"행정구역","2026년01월_거주자 인구수","2026년01월_세대수","2026년01월_세대당 인구","2026년01월_남자 인구수","2026년01월_여자 인구수","2026년01월_남여 비율","2026년02월_거주자 인구수","2026년02월_세대수","2026년02월_세대당 인구","2026년02월_남자 인구수","2026년02월_여자 인구수","2026년02월_남여 비율","2026년03월_거주자 인구수","2026년03월_세대수","2026년03월_세대당 인구","2026년03월_남자 인구수","2026년03월_여자 인구수","2026년03월_남여 비율","2026년04월_거주자 인구수","2026년04월_세대수","2026년04월_세대당 인구","2026년04월_남자 인구수","2026년04월_여자 인구수","2026년04월_남여 비율","2026년05월_거주자 인구수","2026년05월_세대수","2026년05월_세대당 인구","2026년05월_남자 인구수","2026년05월_여자 인구수","2026년05월_남여 비율","2026년06월_거주자 인구수","2026년06월_세대수","2026년06월_세대당 인구","2026년06월_남자 인구수","2026년06월_여자 인구수","2026년06월_남여 비율"
"서울특별시  (1100000000)","9,233,477","4,457,203","          2.07","4,446,996","4,786,481","          0.93","9,238,078","4,466,063","          2.07","4,448,615","4,789,463","          0.93","9,238,662","4,473,663","          2.07","4,447,513","4,791,149","          0.93","9,233,066","4,475,463","          2.06","4,444,168","4,788,898","          0.93","9,229,673","4,477,468","          2.06","4,442,133","4,787,540","          0.93","9,224,532","4,477,233","          2.06","4,438,806","4,785,726","          0.93"
"서울특별시 종로구 (1111000000)","135,136","71,069","          1.90","64,679","70,457","          0.92","135,116","71,186","          1.90","64,641","70,475","          0.92","135,176","71,382","          1.89","64,653","70,523","          0.92","135,081","71,441","          1.89","64,581","70,500","          0.92","134,883","71,385","          1.89","64,519","70,364","          0.92","134,688","71,324","          1.89","64,418","70,270","          0.92"
"서울특별시 중구 (1114000000)","116,352","62,797","          1.85","55,747","60,605","          0.92","116,268","62,869","          1.85","55,736","60,532","          0.92","116,415","62,961","          1.85","55,847","60,568","          0.92","116,427","62,971","          1.85","55,851","60,576","          0.92","116,450","63,001","          1.85","55,840","60,610","          0.92","116,262","62,922","          1.85","55,733","60,529","          0.92"
"서울특별시 용산구 (1117000000)","198,734","100,777","          1.97","94,504","104,230","          0.91","198,480","100,726","          1.97","94,367","104,113","          0.91","197,948","100,505","          1.97","94,058","103,890","          0.91","197,183","100,151","          1.97","93,631","103,552","          0.90","196,823","99,973","          1.97","93,417","103,406","          0.90","196,667","99,883","          1.97","93,352","103,315","          0.90"
"서울특별시 성동구 (1120000000)","272,673","131,912","          2.07","131,544","141,129","          0.93","272,835","132,230","          2.06","131,544","141,291","          0.93","273,084","132,530","          2.06","131,637","141,447","          0.93","272,909","132,480","          2.06","131,566","141,343","          0.93","272,700","132,458","          2.06","131,395","141,305","          0.93","272,528","132,408","          2.06","131,373","141,155","          0.93"
"서울특별시 광진구 (1121500000)","328,601","169,472","          1.94","157,212","171,389","          0.92","328,772","169,829","          1.94","157,313","171,459","          0.92","328,807","170,160","          1.93","157,261","171,546","          0.92","328,723","170,277","          1.93","157,183","171,540","          0.92","328,823","170,473","          1.93","157,166","171,657","          0.92","328,599","170,495","          1.93","156,979","171,620","          0.91"
"서울특별시 동대문구 (1123000000)","346,426","176,144","          1.97","168,742","177,684","          0.95","348,210","177,438","          1.96","169,563","178,647","          0.95","349,373","178,454","          1.96","170,079","179,294","          0.95","349,491","178,630","          1.96","170,129","179,362","          0.95","350,153","179,025","          1.96","170,441","179,712","          0.95","350,718","179,315","          1.96","170,626","180,092","          0.95"
"서울특별시 중랑구 (1126000000)","375,109","188,202","          1.99","182,983","192,126","          0.95","375,077","188,529","          1.99","182,877","192,200","          0.95","374,876","188,637","          1.99","182,757","192,119","          0.95","374,803","188,745","          1.99","182,748","192,055","          0.95","374,696","188,866","          1.98","182,649","192,047","          0.95","374,603","188,981","          1.98","182,560","192,043","          0.95"
"서울특별시 성북구 (1129000000)","419,522","196,829","          2.13","200,414","219,108","          0.91","419,929","197,522","          2.13","200,595","219,334","          0.91","420,178","198,104","          2.12","200,518","219,660","          0.91","419,853","198,104","          2.12","200,303","219,550","          0.91","419,588","198,157","          2.12","200,128","219,460","          0.91","419,158","198,052","          2.12","199,867","219,291","          0.91"
"서울특별시 강북구 (1130500000)","276,750","140,761","          1.97","132,973","143,777","          0.92","276,794","141,012","          1.96","132,970","143,824","          0.92","276,786","141,216","          1.96","132,863","143,923","          0.92","276,525","141,252","          1.96","132,752","143,773","          0.92","276,321","141,276","          1.96","132,677","143,644","          0.92","276,056","141,294","          1.95","132,534","143,522","          0.92"
"서울특별시 도봉구 (1132000000)","297,739","137,717","          2.16","143,580","154,159","          0.93","297,508","137,795","          2.16","143,478","154,030","          0.93","297,295","137,911","          2.16","143,294","154,001","          0.93","297,059","137,936","          2.15","143,234","153,825","          0.93","296,797","137,919","          2.15","143,122","153,675","          0.93","296,457","137,870","          2.15","142,958","153,499","          0.93"
"서울특별시 노원구 (1135000000)","480,303","214,663","          2.24","229,666","250,637","          0.92","480,143","214,996","          2.23","229,609","250,534","          0.92","480,352","215,906","          2.22","229,727","250,625","          0.92","479,965","216,078","          2.22","229,458","250,507","          0.92","479,447","216,157","          2.22","229,162","250,285","          0.92","478,907","216,079","          2.22","228,855","250,052","          0.92"
"서울특별시 은평구 (1138000000)","452,115","212,518","          2.13","213,803","238,312","          0.90","451,605","212,625","          2.12","213,496","238,109","          0.90","451,385","212,761","          2.12","213,364","238,021","          0.90","450,831","212,734","          2.12","213,092","237,739","          0.90","450,685","212,806","          2.12","213,031","237,654","          0.90","450,511","212,936","          2.12","212,897","237,614","          0.90"
"서울특별시 서대문구 (1141000000)","297,580","144,528","          2.06","140,604","156,976","          0.90","297,813","144,966","          2.05","140,617","157,196","          0.89","298,233","145,450","          2.05","140,635","157,598","          0.89","298,046","145,604","          2.05","140,485","157,561","          0.89","297,895","145,698","          2.04","140,341","157,554","          0.89","297,475","145,582","          2.04","140,103","157,372","          0.89"
"서울특별시 마포구 (1144000000)","354,230","178,067","          1.99","164,368","189,862","          0.87","354,161","178,354","          1.99","164,286","189,875","          0.87","353,997","178,473","          1.98","164,245","189,752","          0.87","353,917","178,526","          1.98","164,199","189,718","          0.87","353,898","178,585","          1.98","164,252","189,646","          0.87","353,527","178,507","          1.98","164,005","189,522","          0.87"
"서울특별시 양천구 (1147000000)","422,257","177,811","          2.37","205,412","216,845","          0.95","422,155","177,994","          2.37","205,380","216,775","          0.95","421,364","177,964","          2.37","204,922","216,442","          0.95","420,607","177,880","          2.36","204,586","216,021","          0.95","419,789","177,767","          2.36","204,165","215,624","          0.95","418,967","177,537","          2.36","203,721","215,246","          0.95"
"서울특별시 강서구 (1150000000)","546,456","271,603","          2.01","260,873","285,583","          0.91","545,970","271,696","          2.01","260,526","285,444","          0.91","545,913","272,022","          2.01","260,454","285,459","          0.91","545,653","272,224","          2.00","260,299","285,354","          0.91","545,570","272,363","          2.00","260,268","285,302","          0.91","545,470","272,412","          2.00","260,144","285,326","          0.91"
"서울특별시 구로구 (1153000000)","381,281","182,848","          2.09","186,200","195,081","          0.95","380,865","182,948","          2.08","186,020","194,845","          0.95","380,911","183,261","          2.08","185,987","194,924","          0.95","380,796","183,461","          2.08","185,878","194,918","          0.95","380,746","183,631","          2.07","185,794","194,952","          0.95","380,728","183,745","          2.07","185,745","194,983","          0.95"
"서울특별시 금천구 (1154500000)","221,840","120,566","          1.84","111,296","110,544","          1.01","221,639","120,646","          1.84","111,194","110,445","          1.01","221,554","120,788","          1.83","111,113","110,441","          1.01","221,562","120,942","          1.83","111,078","110,484","          1.01","221,491","121,043","          1.83","111,065","110,426","          1.01","221,350","121,129","          1.83","110,969","110,381","          1.01"
