"행정구역","2026년07월_거주자_총인구수","2026년07월_거주자_연령구간인구수","2026년07월_거주자_0~9세","2026년07월_거주자_10~19세","2026년07월_거주자_20~29세","2026년07월_거주자_30~39세","2026년07월_거주자_40~49세","2026년07월_거주자_50~59세","2026년07월_거주자_60~69세","2026년07월_거주자_70~79세","2026년07월_거주자_80~89세","2026년07월_거주자_90~99세","2026년07월_거주자_100세 이상","2026년07월_남_거주자_총인구수","2026년07월_남_거주자_연령구간인구수","2026년07월_남_거주자_0~9세","2026년07월_남_거주자_10~19세","2026년07월_남_거주자_20~29세","2026년07월_남_거주자_30~39세","2026년07월_남_거주자_40~49세","2026년07월_남_거주자_50~59세","2026년07월_남_거주자_60~69세","2026년07월_남_거주자_70~79세","2026년07월_남_거주자_80~89세","2026년07월_남_거주자_90~99세","2026년07월_남_거주자_100세 이상","2026년07월_여_거주자_총인구수","2026년07월_여_거주자_연령구간인구수","2026년07월_여_거주자_0~9세","2026년07월_여_거주자_10~19세","2026년07월_여_거주자_20~29세","2026년07월_여_거주자_30~39세","2026년07월_여_거주자_40~49세","2026년07월_여_거주자_50~59세","2026년07월_여_거주자_60~69세","2026년07월_여_거주자_70~79세","2026년07월_여_거주자_80~89세","2026년07월_여_거주자_90~99세","2026년07월_여_거주자_100세 이상"
"서울특별시  (1100000000)","9,218,911","9,218,911","451,606","713,289","1,223,996","1,462,422","1,342,966","1,442,577","1,301,993","846,255","374,411","58,025","1,371","4,435,257","4,435,257","231,883","363,597","570,301","729,965","663,037","707,752","618,183","380,617","152,897","16,753","272","4,783,654","4,783,654","219,723","349,692","653,695","732,457","679,929","734,825","683,810","465,638","221,514","41,272","1,099"
"서울특별시 종로구 (1111000000)","134,509","134,509","4,933","8,997","19,728","19,786","17,775","21,971","20,537","12,633","6,871","1,242","36","64,360","64,360","2,533","4,412","9,106","9,906","8,510","10,721","10,224","5,841","2,708","389","10","70,149","70,149","2,400","4,585","10,622","9,880","9,265","11,250","10,313","6,792","4,163","853","26"
"서울특별시 중구 (1114000000)","116,191","116,191","4,806","5,819","15,216","21,139","15,933","17,366","17,444","11,656","5,759","1,030","23","55,651","55,651","2,447","2,902","6,779","10,489","7,947","8,666","8,607","5,365","2,174","273","2","60,540","60,540","2,359","2,917","8,437","10,650","7,986","8,700","8,837","6,291","3,585","757","21"
"서울특별시 용산구 (1117000000)","196,578","196,578","9,740","12,460","25,311","36,614","28,431","30,654","27,178","16,117","8,384","1,639","50","93,303","93,303","4,913","6,349","11,128","17,779","14,003","14,794","13,335","7,303","3,199","485","15","103,275","103,275","4,827","6,111","14,183","18,835","14,428","15,860","13,843","8,814","5,185","1,154","35"
"서울특별시 성동구 (1120000000)","272,352","272,352","15,600","17,049","36,984","48,137","39,153","42,054","38,063","22,670","10,954","1,659","29","131,274","131,274","8,000","8,445","17,547","23,648","19,645","20,498","18,601","10,202","4,248","435","5","141,078","141,078","7,600","8,604","19,437","24,489","19,508","21,556","19,462","12,468","6,706","1,224","24"
"서울특별시 광진구 (1121500000)","328,497","328,497","13,228","22,762","53,908","56,860","45,328","49,868","45,451","27,213","11,970","1,868","41","156,924","156,924","6,764","11,455","24,469","28,260","22,149","24,117","21,842","12,316","5,017","524","11","171,573","171,573","6,464","11,307","29,439","28,600","23,179","25,751","23,609","14,897","6,953","1,344","30"
"서울특별시 동대문구 (1123000000)","350,942","350,942","17,993","23,190","55,200","56,199","48,171","52,107","48,446","31,988","15,358","2,239","51","170,754","170,754","9,198","11,725","25,726","28,423","24,565","26,133","23,734","14,476","6,084","681","9","180,188","180,188","8,795","11,465","29,474","27,776","23,606","25,974","24,712","17,512","9,274","1,558","42"
"서울특별시 중랑구 (1126000000)","374,510","374,510","16,110","22,832","43,842","59,110","50,022","60,187","64,005","39,210","16,759","2,376","57","182,436","182,436","8,181","11,707","20,536","30,043","25,972","29,641","30,963","17,970","6,756","658","9","192,074","192,074","7,929","11,125","23,306","29,067","24,050","30,546","33,042","21,240","10,003","1,718","48"
"서울특별시 성북구 (1129000000)","418,696","418,696","20,905","33,768","61,603","56,906","58,591","69,424","57,926","37,824","18,807","2,875","67","199,653","199,653","10,802","16,957","28,594","28,363","28,948","33,907","27,280","16,621","7,345","824","12","219,043","219,043","10,103","16,811","33,009","28,543","29,643","35,517","30,646","21,203","11,462","2,051","55"
"서울특별시 강북구 (1130500000)","275,687","275,687","9,324","17,556","33,283","34,266","35,386","47,327","47,187","32,836","16,294","2,186","42","132,353","132,353","4,740","8,923","15,313","17,961","18,460","23,411","22,420","14,159","6,305","653","8","143,334","143,334","4,584","8,633","17,970","16,305","16,926","23,916","24,767","18,677","9,989","1,533","34"
"서울특별시 도봉구 (1132000000)","296,296","296,296","11,392","20,879","32,099","36,882","38,771","50,741","52,821","34,125","16,057","2,463","66","142,858","142,858","5,900","10,862","15,690","18,996","19,487","24,352","24,734","15,688","6,440","691","18","153,438","153,438","5,492","10,017","16,409","17,886","19,284","26,389","28,087","18,437","9,617","1,772","48"
"서울특별시 노원구 (1135000000)","478,395","478,395","22,377","43,276","59,568","61,776","67,410","81,707","71,732","45,988","20,916","3,562","83","228,516","228,516","11,522","22,287","29,851","31,200","32,320","39,175","33,248","20,246","7,723","931","13","249,879","249,879","10,855","20,989","29,717","30,576","35,090","42,532","38,484","25,742","13,193","2,631","70"
"서울특별시 은평구 (1138000000)","450,361","450,361","19,678","32,966","54,161","66,830","63,180","75,288","68,523","44,944","21,585","3,143","63","212,765","212,765","10,159","16,741","25,100","32,528","31,132","36,205","31,808","19,527","8,601","948","16","237,596","237,596","9,519","16,225","29,061","34,302","32,048","39,083","36,715","25,417","12,984","2,195","47"
"서울특별시 서대문구 (1141000000)","297,212","297,212","14,847","21,540","44,021","45,223","41,259","46,675","41,324","26,125","13,891","2,253","54","140,008","140,008","7,609","10,644","19,851","22,195","20,269","22,595","19,511","11,321","5,323","677","13","157,204","157,204","7,238","10,896","24,170","23,028","20,990","24,080","21,813","14,804","8,568","1,576","41"
"서울특별시 마포구 (1144000000)","353,204","353,204","17,758","25,538","53,227","64,071","53,573","54,958","42,120","25,980","13,620","2,314","45","163,846","163,846","9,103","12,716","22,888","30,105","25,761","26,458","19,921","11,034","5,150","703","7","189,358","189,358","8,655","12,822","30,339","33,966","27,812","28,500","22,199","14,946","8,470","1,611","38"
"서울특별시 양천구 (1147000000)","418,298","418,298","21,999","45,551","44,600","51,124","68,026","70,251","61,527","38,611","14,276","2,277","56","203,313","203,313","11,317","23,496","22,127","25,452","32,630","34,723","29,247","17,945","5,804","566","6","214,985","214,985","10,682","22,055","22,473","25,672","35,396","35,528","32,280","20,666","8,472","1,711","50"
"서울특별시 강서구 (1150000000)","545,212","545,212","25,959","39,682","69,181","96,417","80,579","80,186","77,983","51,573","20,173","3,385","94","260,001","260,001","13,289","20,251","30,739","47,846","40,463","39,201","35,865","23,289","8,143","903","12","285,211","285,211","12,670","19,431","38,442","48,571","40,116","40,985","42,118","28,284","12,030","2,482","82"
"서울특별시 구로구 (1153000000)","380,635","380,635","19,008","26,596","44,816","61,849","53,654","58,993","57,311","39,694","16,418","2,254","42","185,608","185,608","9,797","13,415","21,309","31,519","27,399","29,327","27,214","17,999","6,969","655","5","195,027","195,027","9,211","13,181","23,507","30,330","26,255","29,666","30,097","21,695","9,449","1,599","37"
"서울특별시 금천구 (1154500000)","221,274","221,274","8,004","11,798","30,683","40,120","27,129","33,898","36,922","22,051","9,368","1,277","24","110,869","110,869","4,080","5,997","14,503","21,968","14,670","16,996","18,226","10,173","3,893","355","8","110,405","110,405","3,924","5,801","16,180","18,152","12,459","16,902","18,696","11,878","5,475","922","16"
"서울특별시 영등포구 (1156000000)","368,847","368,847","19,551","22,224","51,355","74,825","51,529","52,866","48,399","31,219","14,540","2,291","48","179,540","179,540","9,987","11,389","22,746","37,471","26,317","26,564","23,965","14,300","6,045","746","10","189,307","189,307","9,564","10,835","28,609","37,354","25,212","26,302","24,434","16,919","8,495","1,545","38"
"서울특별시 동작구 (1159000000)","369,156","369,156","17,166","24,793","58,595","62,050","49,983","55,648","49,135","33,409","15,913","2,414","50","178,101","178,101","8,856","12,696","27,772","31,741","25,133","27,054","22,924","14,553","6,619","742","11","191,055","191,055","8,310","12,097","30,823","30,309","24,850","28,594","26,211","18,856","9,294","1,672","39"
"서울특별시 관악구 (1162000000)","474,250","474,250","13,384","23,328","100,412","94,477","56,562","63,149","59,206","41,976","19,322","2,389","45","237,970","237,970","6,799","11,721","47,853","52,685","30,619","32,466","28,353","18,577","8,142","749","6","236,280","236,280","6,585","11,607","52,559","41,792","25,943","30,683","30,853","23,399","11,180","1,640","39"
"서울특별시 서초구 (1165000000)","410,544","410,544","25,965","45,512","47,039","56,720","70,072","67,881","48,001","32,995","14,038","2,264","57","194,811","194,811","13,414","22,911","22,193","26,376","32,244","33,209","22,511","14,816","6,377","746","14","215,733","215,733","12,551","22,601","24,846","30,344","37,828","34,672","25,490","18,179","7,661","1,518","43"
