"행정구역","2026년07월_거주자 인구수","2026년07월_세대수","2026년07월_세대당 인구","2026년07월_남자 인구수","2026년07월_여자 인구수","2026년07월_남여 비율"
"서울특별시  (1100000000)","9,218,911","4,476,667","          2.06","4,435,257","4,783,654","          0.93"
"서울특별시 종로구 (1111000000)","134,509","71,281","          1.89","64,360","70,149","          0.92"
"서울특별시 중구 (1114000000)","116,191","62,894","          1.85","55,651","60,540","          0.92"
"서울특별시 용산구 (1117000000)","196,578","99,828","          1.97","93,303","103,275","          0.90"
"서울특별시 성동구 (1120000000)","272,352","132,360","          2.06","131,274","141,078","          0.93"
"서울특별시 광진구 (1121500000)","328,497","170,513","          1.93","156,924","171,573","          0.91"
"서울특별시 동대문구 (1123000000)","350,942","179,451","          1.96","170,754","180,188","          0.95"
"서울특별시 중랑구 (1126000000)","374,510","189,029","          1.98","182,436","192,074","          0.95"
"서울특별시 성북구 (1129000000)","418,696","197,895","          2.12","199,653","219,043","          0.91"
"서울특별시 강북구 (1130500000)","275,687","141,191","          1.95","132,353","143,334","          0.92"
"서울특별시 도봉구 (1132000000)","296,296","137,910","          2.15","142,858","153,438","          0.93"
"서울특별시 노원구 (1135000000)","478,395","215,999","          2.21","228,516","249,879","          0.91"
"서울특별시 은평구 (1138000000)","450,361","213,067","          2.11","212,765","237,596","          0.90"
"서울특별시 서대문구 (1141000000)","297,212","145,482","          2.04","140,008","157,204","          0.89"
"서울특별시 마포구 (1144000000)","353,204","178,447","          1.98","163,846","189,358","          0.87"
"서울특별시 양천구 (1147000000)","418,298","177,313","          2.36","203,313","214,985","          0.95"
"서울특별시 강서구 (1150000000)","545,212","272,545","          2.00","260,001","285,211","          0.91"
"서울특별시 구로구 (1153000000)","380,635","183,857","          2.07","185,608","195,027","          0.95"
"서울특별시 금천구 (1154500000)","221,274","121,232","          1.83","110,869","110,405","          1.00"
"서울특별시 영등포구 (1156000000)","368,847","191,508","          1.93","179,540","189,307","          0.95"
"서울특별시 동작구 (1159000000)","369,156","186,241","          1.98","178,101","191,055","          0.93"
"서울특별시 관악구 (1162000000)","474,250","288,715","          1.64","237,970","236,280","          1.01"
"서울특별시 서초구 (1165000000)","410,544","171,509","          2.39","194,811","215,733","          0.90"
"서울특별시 강남구 (1168000000)","545,620","239,911","          2.27","260,186","285,434","          0.91"
"서울특별시 송파구 (1171000000)","645,569","286,842","          2.25","308,729","336,840","          0.92"
"서울특별시 강동구 (1174000000)","496,076","221,647","          2.24","241,428","254,648","          0.95"
"전남광주통합특별시  (1200000000)","3,149,996","1,572,664","          2.00","1,574,303","1,575,693","          1.00"
"전남광주통합특별시 목포시 (1211000000)","198,640","101,996","          1.95","98,711","99,929","          0.99"
"전남광주통합특별시 여수시 (1213000000)","259,568","126,708","          2.05","131,762","127,806","          1.03"
"전남광주통합특별시 순천시 (1215000000)","273,226","127,760","          2.14","136,252","136,974","          0.99"
"전남광주통합특별시 나주시 (1217000000)","116,451","60,053","          1.94","58,952","57,499","          1.03"
"전남광주통합특별시 광양시 (1219000000)","155,662","73,939","          2.11","81,649","74,013","          1.10"
"전남광주통합특별시 동구 (1221000000)","104,885","55,483","          1.89","51,249","53,636","          0.96"
"전남광주통합특별시 서구 (1224000000)","273,487","132,969","          2.06","133,510","139,977","          0.95"
"전남광주통합특별시 남구 (1227000000)","204,953","95,935","          2.14","97,746","107,207","          0.91"
"전남광주통합특별시 북구 (1230000000)","415,597","202,713","          2.05","205,122","210,475","          0.97"
"전남광주통합특별시 광산구 (1233000000)","381,988","172,310","          2.22","192,822","189,166","          1.02"
"전남광주통합특별시 담양군 (1271000000)","43,861","23,751","          1.85","22,163","21,698","          1.02"
"전남광주통합특별시 곡성군 (1272000000)","27,614","16,088","          1.72","13,796","13,818","          1.00"
"전남광주통합특별시 구례군 (1273000000)","24,524","13,799","          1.78","12,002","12,522","          0.96"
"전남광주통합특별시 고흥군 (1274000000)","58,847","35,015","          1.68","29,226","29,621","          0.99"
"전남광주통합특별시 보성군 (1275000000)","38,029","22,113","          1.72","18,724","19,305","          0.97"
"전남광주통합특별시 화순군 (1276000000)","59,666","31,443","          1.90","29,542","30,124","          0.98"
"전남광주통합특별시 장흥군 (1277000000)","33,819","19,590","          1.73","16,723","17,096","          0.98"
"전남광주통합특별시 강진군 (1278000000)","31,605","18,093","          1.75","15,580","16,025","          0.97"
"전남광주통합특별시 해남군 (1279000000)","61,877","34,448","          1.80","31,169","30,708","          1.02"
"전남광주통합특별시 영암군 (1280000000)","49,906","28,375","          1.76","26,360","23,546","          1.12"
"전남광주통합특별시 무안군 (1281000000)","95,441","46,534","          2.05","47,966","47,475","          1.01"
"전남광주통합특별시 함평군 (1282000000)","29,576","17,775","          1.66","15,123","14,453","          1.05"
"전남광주통합특별시 영광군 (1283000000)","53,655","28,562","          1.88","26,891","26,764","          1.00"
"전남광주통합특별시 장성군 (1284000000)","43,047","23,576","          1.83","22,109","20,938","          1.06"
"전남광주통합특별시 완도군 (1285000000)","43,997","24,848","          1.77","22,375","21,622","          1.03"
"전남광주통합특별시 진도군 (1286000000)","27,770","16,292","          1.70","14,025","13,745","          1.02"
"전남광주통합특별시 신안군 (1287000000)","42,305","22,496","          1.88","22,754","19,551","          1.16"
"부산광역시  (2600000000)","3,218,024","1,572,619","          2.05","1,562,391","1,655,633","          0.94"
"부산광역시 중구 (2611000000)","35,926","23,090","          1.56","17,392","18,534","          0.94"
"부산광역시 서구 (2614000000)","100,548","52,958","          1.90","48,088","52,460","          0.92"
"부산광역시 동구 (2617000000)","82,664","45,903","          1.80","40,157","42,507","          0.94"
"부산광역시 영도구 (2620000000)","99,965","52,840","          1.89","49,033","50,932","          0.96"
"부산광역시 부산진구 (2623000000)","362,704","188,103","          1.93","173,005","189,699","          0.91"
"부산광역시 동래구 (2626000000)","269,843","121,801","          2.22","129,676","140,167","          0.93"
"부산광역시 남구 (2629000000)","253,781","121,245","          2.09","123,142","130,639","          0.94"
"부산광역시 북구 (2632000000)","259,676","121,609","          2.14","127,105","132,571","          0.96"
"부산광역시 해운대구 (2635000000)","368,271","168,714","          2.18","176,016","192,255","          0.92"
"부산광역시 사하구 (2638000000)","280,702","138,343","          2.03","138,905","141,797","          0.98"
"부산광역시 금정구 (2641000000)","204,698","104,764","          1.95","99,337","105,361","          0.94"
"부산광역시 강서구 (2644000000)","153,826","66,661","          2.31","79,467","74,359","          1.07"
"부산광역시 연제구 (2647000000)","210,923","100,570","          2.10","100,307","110,616","          0.91"
"부산광역시 수영구 (2650000000)","167,985","87,501","          1.92","78,597","89,388","          0.88"
"부산광역시 사상구 (2653000000)","191,580","98,056","          1.95","95,468","96,112","          0.99"
"부산광역시 기장군 (2671000000)","174,932","80,461","          2.17","86,696","88,236","          0.98"
"대구광역시  (2700000000)","2,340,047","1,116,735","          2.10","1,144,486","1,195,561","          0.96"
"대구광역시 중구 (2711000000)","101,295","50,796","          1.99","48,349","52,946","          0.91"
"대구광역시 동구 (2714000000)","337,352","165,802","          2.03","164,502","172,850","          0.95"
"대구광역시 서구 (2717000000)","162,799","85,117","          1.91","80,400","82,399","          0.98"
"대구광역시 남구 (2720000000)","140,852","78,415","          1.80","66,868","73,984","          0.90"
"대구광역시 북구 (2723000000)","405,511","193,476","          2.10","200,306","205,205","          0.98"
"대구광역시 수성구 (2726000000)","406,574","177,094","          2.30","195,036","211,538","          0.92"
"대구광역시 달서구 (2729000000)","511,591","238,980","          2.14","249,937","261,654","          0.96"
"대구광역시 달성군 (2771000000)","251,569","113,577","          2.21","127,351","124,218","          1.03"
"대구광역시 군위군 (2772000000)","22,504","13,478","          1.67","11,737","10,767","          1.09"
"인천광역시  (2800000000)","3,049,203","1,405,206","          2.17","1,521,153","1,528,050","          1.00"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0","          0.00"
"인천광역시 제물포구 (2812500000)","98,720","50,980","          1.94","49,974","48,746","          1.03"
"인천광역시 영종구 (2815500000)","137,318","66,808","          2.06","71,083","66,235","          1.07"
"인천광역시 미추홀구 (2817700000)","416,358","205,700","          2.02","209,160","207,198","          1.01"
"인천광역시 연수구 (2818500000)","408,540","168,275","          2.43","202,125","206,415","          0.98"
"인천광역시 남동구 (2820000000)","476,168","225,279","          2.11","235,694","240,474","          0.98"
"인천광역시 부평구 (2823700000)","485,284","224,858","          2.16","237,862","247,422","          0.96"
"인천광역시 계양구 (2824500000)","274,790","128,248","          2.14","136,483","138,307","          0.99"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0","          0.00"
"인천광역시 서해구 (2827500000)","390,542","175,027","          2.23","196,266","194,276","          1.01"
"인천광역시 검단구 (2829000000)","272,949","111,735","          2.44","136,788","136,161","          1.00"
"인천광역시 강화군 (2871000000)","69,282","36,157","          1.92","34,722","34,560","          1.00"
"인천광역시 옹진군 (2872000000)","19,252","12,139","          1.59","10,996","8,256","          1.33"
"대전광역시  (3000000000)","1,437,328","701,411","          2.05","715,183","722,145","          0.99"
"대전광역시 동구 (3011000000)","217,293","113,184","          1.92","109,275","108,018","          1.01"
"대전광역시 중구 (3014000000)","223,188","109,233","          2.04","108,881","114,307","          0.95"
"대전광역시 서구 (3017000000)","462,784","223,877","          2.07","226,429","236,355","          0.96"
"대전광역시 유성구 (3020000000)","370,837","174,451","          2.13","187,895","182,942","          1.03"
"대전광역시 대덕구 (3023000000)","163,226","80,666","          2.02","82,703","80,523","          1.03"
"울산광역시  (3100000000)","1,083,947","499,539","          2.17","558,435","525,512","          1.06"
"울산광역시 중구 (3111000000)","202,307","94,738","          2.14","102,133","100,174","          1.02"
"울산광역시 남구 (3114000000)","303,419","143,309","          2.12","155,225","148,194","          1.05"
"울산광역시 동구 (3117000000)","147,245","68,151","          2.16","77,055","70,190","          1.10"
"울산광역시 북구 (3120000000)","213,144","90,152","          2.36","110,965","102,179","          1.09"
"울산광역시 울주군 (3171000000)","217,832","103,189","          2.11","113,057","104,775","          1.08"
"세종특별자치시  (3600000000)","390,229","165,445","          2.36","194,317","195,912","          0.99"
"세종특별자치시  (3611000000)","390,229","165,445","          2.36","194,317","195,912","          0.99"
"경기도  (4100000000)","13,706,605","6,138,280","          2.23","6,877,564","6,829,041","          1.01"
"경기도 수원시 (4111000000)","1,180,110","541,784","          2.18","591,705","588,405","          1.01"
"경기도 수원시 장안구 (4111100000)","268,519","122,109","          2.20","134,527","133,992","          1.00"
"경기도 수원시 권선구 (4111300000)","358,865","165,569","          2.17","180,720","178,145","          1.01"
"경기도 수원시 팔달구 (4111500000)","192,040","97,949","          1.96","96,166","95,874","          1.00"
"경기도 수원시 영통구 (4111700000)","360,686","156,157","          2.31","180,292","180,394","          1.00"
"경기도 성남시 (4113000000)","895,642","405,264","          2.21","441,928","453,714","          0.97"
"경기도 성남시 수정구 (4113100000)","233,732","116,739","          2.00","117,992","115,740","          1.02"
"경기도 성남시 중원구 (4113300000)","197,990","97,489","          2.03","99,480","98,510","          1.01"
