※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,2026년01월,,,,,,2026년02월,,,,,,2026년03월,,,,,,2026년04월,,,,,
행정기관코드,행정기관,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1100000000,서울특별시  ,"9,233,477","4,457,203",          2.07,"4,446,996","4,786,481",          0.93,"9,238,078","4,466,063",          2.07,"4,448,615","4,789,463",          0.93,"9,238,662","4,473,663",          2.07,"4,447,513","4,791,149",          0.93,"9,233,066","4,475,463",          2.06,"4,444,168","4,788,898",          0.93
1111000000,서울특별시 종로구 ,"135,136","71,069",          1.90,"64,679","70,457",          0.92,"135,116","71,186",          1.90,"64,641","70,475",          0.92,"135,176","71,382",          1.89,"64,653","70,523",          0.92,"135,081","71,441",          1.89,"64,581","70,500",          0.92
1114000000,서울특별시 중구 ,"116,352","62,797",          1.85,"55,747","60,605",          0.92,"116,268","62,869",          1.85,"55,736","60,532",          0.92,"116,415","62,961",          1.85,"55,847","60,568",          0.92,"116,427","62,971",          1.85,"55,851","60,576",          0.92
1117000000,서울특별시 용산구 ,"198,734","100,777",          1.97,"94,504","104,230",          0.91,"198,480","100,726",          1.97,"94,367","104,113",          0.91,"197,948","100,505",          1.97,"94,058","103,890",          0.91,"197,183","100,151",          1.97,"93,631","103,552",          0.90
1120000000,서울특별시 성동구 ,"272,673","131,912",          2.07,"131,544","141,129",          0.93,"272,835","132,230",          2.06,"131,544","141,291",          0.93,"273,084","132,530",          2.06,"131,637","141,447",          0.93,"272,909","132,480",          2.06,"131,566","141,343",          0.93
1121500000,서울특별시 광진구 ,"328,601","169,472",          1.94,"157,212","171,389",          0.92,"328,772","169,829",          1.94,"157,313","171,459",          0.92,"328,807","170,160",          1.93,"157,261","171,546",          0.92,"328,723","170,277",          1.93,"157,183","171,540",          0.92
1123000000,서울특별시 동대문구 ,"346,426","176,144",          1.97,"168,742","177,684",          0.95,"348,210","177,438",          1.96,"169,563","178,647",          0.95,"349,373","178,454",          1.96,"170,079","179,294",          0.95,"349,491","178,630",          1.96,"170,129","179,362",          0.95
1126000000,서울특별시 중랑구 ,"375,109","188,202",          1.99,"182,983","192,126",          0.95,"375,077","188,529",          1.99,"182,877","192,200",          0.95,"374,876","188,637",          1.99,"182,757","192,119",          0.95,"374,803","188,745",          1.99,"182,748","192,055",          0.95
1129000000,서울특별시 성북구 ,"419,522","196,829",          2.13,"200,414","219,108",          0.91,"419,929","197,522",          2.13,"200,595","219,334",          0.91,"420,178","198,104",          2.12,"200,518","219,660",          0.91,"419,853","198,104",          2.12,"200,303","219,550",          0.91
1130500000,서울특별시 강북구 ,"276,750","140,761",          1.97,"132,973","143,777",          0.92,"276,794","141,012",          1.96,"132,970","143,824",          0.92,"276,786","141,216",          1.96,"132,863","143,923",          0.92,"276,525","141,252",          1.96,"132,752","143,773",          0.92
1132000000,서울특별시 도봉구 ,"297,739","137,717",          2.16,"143,580","154,159",          0.93,"297,508","137,795",          2.16,"143,478","154,030",          0.93,"297,295","137,911",          2.16,"143,294","154,001",          0.93,"297,059","137,936",          2.15,"143,234","153,825",          0.93
1135000000,서울특별시 노원구 ,"480,303","214,663",          2.24,"229,666","250,637",          0.92,"480,143","214,996",          2.23,"229,609","250,534",          0.92,"480,352","215,906",          2.22,"229,727","250,625",          0.92,"479,965","216,078",          2.22,"229,458","250,507",          0.92
1138000000,서울특별시 은평구 ,"452,115","212,518",          2.13,"213,803","238,312",          0.90,"451,605","212,625",          2.12,"213,496","238,109",          0.90,"451,385","212,761",          2.12,"213,364","238,021",          0.90,"450,831","212,734",          2.12,"213,092","237,739",          0.90
