※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,2023년01월,,,,,,2023년02월,,,,,,2023년03월,,,,,,2023년04월,,,,,,2023년05월,,,,,,2023년06월,,,,,
행정기관코드,행정기관,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1100000000,서울특별시  ,"9,350,940","4,394,356",          2.13,"4,529,450","4,821,490",          0.94,"9,353,894","4,404,742",          2.12,"4,529,843","4,824,051",          0.94,"9,352,882","4,410,329",          2.12,"4,528,372","4,824,510",          0.94,"9,349,398","4,412,558",          2.12,"4,525,737","4,823,661",          0.94,"9,345,768","4,415,389",          2.12,"4,523,086","4,822,682",          0.94,"9,341,081","4,416,660",          2.11,"4,520,052","4,821,029",          0.94
1111000000,서울특별시 종로구 ,"139,265","71,028",          1.96,"67,282","71,983",          0.93,"139,501","71,346",          1.96,"67,384","72,117",          0.93,"139,157","71,280",          1.95,"67,175","71,982",          0.93,"139,000","71,255",          1.95,"67,089","71,911",          0.93,"138,736","71,215",          1.95,"66,949","71,787",          0.93,"138,556","71,157",          1.95,"66,873","71,683",          0.93
1114000000,서울특별시 중구 ,"118,560","61,732",          1.92,"57,494","61,066",          0.94,"118,823","62,120",          1.91,"57,625","61,198",          0.94,"119,245","62,506",          1.91,"57,782","61,463",          0.94,"119,540","62,738",          1.91,"57,901","61,639",          0.94,"119,637","62,924",          1.90,"57,946","61,691",          0.94,"119,739","63,051",          1.90,"57,962","61,777",          0.94
1117000000,서울특별시 용산구 ,"214,920","107,309",          2.00,"103,345","111,575",          0.93,"214,693","107,377",          2.00,"103,243","111,450",          0.93,"214,286","107,338",          2.00,"103,036","111,250",          0.93,"214,145","107,322",          2.00,"102,979","111,166",          0.93,"213,941","107,308",          1.99,"102,875","111,066",          0.93,"213,802","107,271",          1.99,"102,738","111,064",          0.93
1120000000,서울특별시 성동구 ,"278,448","131,692",          2.11,"135,255","143,193",          0.94,"278,241","131,936",          2.11,"135,190","143,051",          0.95,"278,021","131,944",          2.11,"135,072","142,949",          0.94,"277,780","131,947",          2.11,"134,916","142,864",          0.94,"277,573","132,008",          2.10,"134,794","142,779",          0.94,"277,139","131,902",          2.10,"134,555","142,584",          0.94
1121500000,서울특별시 광진구 ,"334,688","167,509",          2.00,"161,121","173,567",          0.93,"334,508","167,749",          1.99,"160,996","173,512",          0.93,"334,225","167,886",          1.99,"160,874","173,351",          0.93,"333,997","167,839",          1.99,"160,746","173,251",          0.93,"334,030","168,074",          1.99,"160,703","173,327",          0.93,"333,604","167,970",          1.99,"160,422","173,182",          0.93
1123000000,서울특별시 동대문구 ,"333,976","167,862",          1.99,"164,289","169,687",          0.97,"334,883","168,939",          1.98,"164,617","170,266",          0.97,"335,188","169,343",          1.98,"164,614","170,574",          0.97,"335,306","169,496",          1.98,"164,621","170,685",          0.96,"335,313","169,613",          1.98,"164,566","170,747",          0.96,"335,760","169,947",          1.98,"164,754","171,006",          0.96
1126000000,서울특별시 중랑구 ,"382,808","185,649",          2.06,"188,030","194,778",          0.97,"382,831","185,921",          2.06,"187,963","194,868",          0.96,"382,724","186,053",          2.06,"187,855","194,869",          0.96,"382,582","186,128",          2.06,"187,761","194,821",          0.96,"382,384","186,183",          2.05,"187,694","194,690",          0.96,"382,017","186,153",          2.05,"187,430","194,587",          0.96
1129000000,서울특별시 성북구 ,"427,004","194,811",          2.19,"205,200","221,804",          0.93,"427,230","195,569",          2.18,"205,250","221,980",          0.92,"427,170","195,762",          2.18,"205,138","222,032",          0.92,"426,803","195,699",          2.18,"204,868","221,935",          0.92,"426,747","195,814",          2.18,"204,824","221,923",          0.92,"426,202","195,741",          2.18,"204,553","221,649",          0.92
