※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,,2025년07월,,,,,,,,,2025년08월,,,,,,,,,2025년09월,,,,,,,,,2025년10월,,,,,,,,,2025년11월,,,,,,,,,2025년12월,,,,,,,,
,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,
행정기관코드,행정기관,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계
1000000000,전국  ,"25,467,115","25,697,467","51,164,582","25,463,429","25,696,460","51,159,889","-3,686","-1,007","-4,693","25,463,429","25,696,460","51,159,889","25,459,789","25,695,192","51,154,981","-3,640","-1,268","-4,908","25,459,789","25,695,192","51,154,981","25,455,867","25,693,679","51,149,546","-3,922","-1,513","-5,435","25,455,867","25,693,679","51,149,546","25,451,723","25,691,698","51,143,421","-4,144","-1,981","-6,125","25,451,723","25,691,698","51,143,421","25,443,016","25,685,514","51,128,530","-8,707","-6,184","-14,891","25,443,016","25,685,514","51,128,530","25,436,665","25,680,713","51,117,378","-6,351","-4,801","-11,152"
1100000000,서울특별시  ,"4,497,354","4,828,262","9,325,616","4,495,747","4,827,745","9,323,492","-1,607",-517,"-2,124","4,495,747","4,827,745","9,323,492","4,494,474","4,827,389","9,321,863","-1,273",-356,"-1,629","4,494,474","4,827,389","9,321,863","4,491,997","4,826,503","9,318,500","-2,477",-886,"-3,363","4,491,997","4,826,503","9,318,500","4,489,067","4,824,465","9,313,532","-2,930","-2,038","-4,968","4,489,067","4,824,465","9,313,532","4,484,604","4,821,074","9,305,678","-4,463","-3,391","-7,854","4,484,604","4,821,074","9,305,678","4,481,099","4,818,449","9,299,548","-3,505","-2,625","-6,130"
1111000000,서울특별시 종로구 ,"66,315","71,700","138,015","66,201","71,656","137,857",-114,-44,-158,"66,201","71,656","137,857","66,057","71,526","137,583",-144,-130,-274,"66,057","71,526","137,583","66,032","71,513","137,545",-25,-13,-38,"66,032","71,513","137,545","65,925","71,524","137,449",-107,11,-96,"65,925","71,524","137,449","65,805","71,441","137,246",-120,-83,-203,"65,805","71,441","137,246","65,668","71,380","137,048",-137,-61,-198
1114000000,서울특별시 중구 ,"57,267","61,830","119,097","57,098","61,763","118,861",-169,-67,-236,"57,098","61,763","118,861","56,981","61,640","118,621",-117,-123,-240,"56,981","61,640","118,621","56,869","61,589","118,458",-112,-51,-163,"56,869","61,589","118,458","56,829","61,502","118,331",-40,-87,-127,"56,829","61,502","118,331","56,703","61,405","118,108",-126,-97,-223,"56,703","61,405","118,108","56,560","61,245","117,805",-143,-160,-303
1117000000,서울특별시 용산구 ,"96,925","106,202","203,127","96,826","106,145","202,971",-99,-57,-156,"96,826","106,145","202,971","96,688","106,075","202,763",-138,-70,-208,"96,688","106,075","202,763","96,590","106,046","202,636",-98,-29,-127,"96,590","106,046","202,636","96,459","106,048","202,507",-131,2,-129,"96,459","106,048","202,507","96,205","105,940","202,145",-254,-108,-362,"96,205","105,940","202,145","96,065","105,829","201,894",-140,-111,-251
1120000000,서울특별시 성동구 ,"132,030","141,165","273,195","131,952","141,027","272,979",-78,-138,-216,"131,952","141,027","272,979","132,198","141,323","273,521",246,296,542,"132,198","141,323","273,521","132,518","141,677","274,195",320,354,674,"132,518","141,677","274,195","132,555","141,869","274,424",37,192,229,"132,555","141,869","274,424","132,581","141,969","274,550",26,100,126,"132,581","141,969","274,550","132,541","142,065","274,606",-40,96,56
1121500000,서울특별시 광진구 ,"159,503","173,593","333,096","159,324","173,509","332,833",-179,-84,-263,"159,324","173,509","332,833","159,190","173,307","332,497",-134,-202,-336,"159,190","173,307","332,497","158,955","173,117","332,072",-235,-190,-425,"158,955","173,117","332,072","158,814","172,972","331,786",-141,-145,-286,"158,814","172,972","331,786","158,635","172,840","331,475",-179,-132,-311,"158,635","172,840","331,475","158,534","172,633","331,167",-101,-207,-308
