※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,2026년01월,,,,,,,,,2026년02월,,,,,,,,,2026년03월,,,,,,,,,2026년04월,,,,,,,,
,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,,전월인구수,,,당월인구수,,,인구증감,,
행정기관코드,행정기관,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계,남자인구수,여자인구수,계
1000000000,전국  ,"25,436,665","25,680,713","51,117,378","25,432,356","25,678,802","51,111,158","-4,309","-1,911","-6,220","25,432,356","25,678,802","51,111,158","25,429,357","25,676,872","51,106,229","-2,999","-1,930","-4,929","25,429,357","25,676,872","51,106,229","25,425,930","25,675,441","51,101,371","-3,427","-1,431","-4,858","25,425,930","25,675,441","51,101,371","25,423,432","25,674,554","51,097,986","-2,498",-887,"-3,385"
1100000000,서울특별시  ,"4,481,099","4,818,449","9,299,548","4,480,849","4,818,852","9,299,701",-250,403,153,"4,480,849","4,818,852","9,299,701","4,482,300","4,821,829","9,304,129","1,451","2,977","4,428","4,482,300","4,821,829","9,304,129","4,480,938","4,823,462","9,304,400","-1,362","1,633",271,"4,480,938","4,823,462","9,304,400","4,477,462","4,821,211","9,298,673","-3,476","-2,251","-5,727"
1111000000,서울특별시 종로구 ,"65,668","71,380","137,048","65,539","71,259","136,798",-129,-121,-250,"65,539","71,259","136,798","65,495","71,269","136,764",-44,10,-34,"65,495","71,269","136,764","65,500","71,317","136,817",5,48,53,"65,500","71,317","136,817","65,420","71,296","136,716",-80,-21,-101
1114000000,서울특별시 중구 ,"56,560","61,245","117,805","56,484","61,234","117,718",-76,-11,-87,"56,484","61,234","117,718","56,464","61,161","117,625",-20,-73,-93,"56,464","61,161","117,625","56,567","61,195","117,762",103,34,137,"56,567","61,195","117,762","56,561","61,199","117,760",-6,4,-2
1117000000,서울특별시 용산구 ,"96,065","105,829","201,894","95,984","105,762","201,746",-81,-67,-148,"95,984","105,762","201,746","95,846","105,648","201,494",-138,-114,-252,"95,846","105,648","201,494","95,540","105,422","200,962",-306,-226,-532,"95,540","105,422","200,962","95,104","105,083","200,187",-436,-339,-775
1120000000,서울특별시 성동구 ,"132,541","142,065","274,606","132,585","142,110","274,695",44,45,89,"132,585","142,110","274,695","132,577","142,277","274,854",-8,167,159,"132,577","142,277","274,854","132,662","142,431","275,093",85,154,239,"132,662","142,431","275,093","132,590","142,327","274,917",-72,-104,-176
1121500000,서울특별시 광진구 ,"158,534","172,633","331,167","158,412","172,521","330,933",-122,-112,-234,"158,412","172,521","330,933","158,509","172,586","331,095",97,65,162,"158,509","172,586","331,095","158,449","172,674","331,123",-60,88,28,"158,449","172,674","331,123","158,364","172,665","331,029",-85,-9,-94
